дата,цена
2/12/2021,607
2/15/2021,614
2/16/2021,615
2/17/2021,606
2/18/2021,604
2/19/2021,604
2/22/2021,602.5
2/23/2021,610
2/24/2021,609
2/25/2021,607.5
2/26/2021,605.43
3/1/2021,656.5
3/2/2021,652
3/3/2021,650
3/4/2021,648
3/5/2021,643.5
3/8/2021,641
3/9/2021,638
3/10/2021,630.5
3/11/2021,630.5
3/12/2021,629
3/15/2021,634
3/16/2021,632
3/17/2021,627.5
3/18/2021,628.5
3/19/2021,624.5
3/22/2021,622
3/23/2021,626.5
3/24/2021,626.5
3/25/2021,626
3/26/2021,631
3/29/2021,633
3/30/2021,632
3/31/2021,628.22
4/1/2021,643
4/6/2021,650
4/7/2021,641
4/8/2021,636
4/9/2021,639.5
4/12/2021,636
4/13/2021,635
4/14/2021,639
4/15/2021,636.5
4/16/2021,641
4/19/2021,637.5
4/20/2021,637.5
4/21/2021,637.5
4/22/2021,638
4/23/2021,637.5
4/26/2021,639.5
4/27/2021,641
4/28/2021,640
4/29/2021,642.5
4/30/2021,639.28
5/4/2021,696.5
5/5/2021,710
5/6/2021,730
5/7/2021,710
5/10/2021,750
5/11/2021,750
5/12/2021,794
5/13/2021,780.5
5/14/2021,775
5/17/2021,769.5
5/18/2021,771.5
5/19/2021,756
5/20/2021,752
5/21/2021,742
5/24/2021,748.5
5/25/2021,745
5/26/2021,746
5/27/2021,744
5/28/2021,744.21
6/1/2021,755
6/2/2021,755
6/3/2021,755
6/4/2021,755
6/7/2021,715
6/8/2021,715
6/9/2021,715
6/10/2021,715
6/11/2021,715
6/14/2021,715
6/15/2021,720
6/16/2021,725
6/17/2021,725
6/18/2021,725
6/21/2021,725
6/22/2021,725
6/23/2021,725
6/24/2021,725
6/25/2021,738
6/28/2021,735
6/29/2021,730
6/30/2021,726.48
7/1/2021,737.5
7/2/2021,736
7/5/2021,741.5
7/6/2021,742
7/7/2021,745
7/8/2021,740
7/9/2021,736.5
7/12/2021,753
7/13/2021,727
7/14/2021,727
7/15/2021,727
7/16/2021,724
7/19/2021,726
7/20/2021,725
7/21/2021,729
7/22/2021,731.5
7/23/2021,726.5
7/26/2021,724
7/27/2021,724
7/28/2021,722.5
7/29/2021,723
7/30/2021,720.57
8/2/2021,719
8/3/2021,708.5
8/4/2021,710
8/5/2021,706
8/6/2021,694.5
8/9/2021,698
8/10/2021,694.5
8/11/2021,696.5
8/12/2021,696.5
8/13/2021,696.5
8/16/2021,692.5
8/17/2021,692.5
8/18/2021,692.5
8/19/2021,692.5
8/20/2021,692.5
8/23/2021,690
8/24/2021,690
8/25/2021,690
8/26/2021,688
8/27/2021,687.5
8/31/2021,688.07
9/1/2021,671.5
9/2/2021,668
9/3/2021,671.5
9/6/2021,671.5
9/7/2021,668.5
9/8/2021,667.5
9/9/2021,676.5
9/10/2021,685
9/13/2021,679
9/14/2021,664
9/15/2021,660
9/16/2021,660
9/17/2021,669
9/20/2021,661
9/21/2021,667.5
9/22/2021,674
9/23/2021,667
9/24/2021,668
9/27/2021,670
9/28/2021,665
9/29/2021,665
9/30/2021,665.32
10/1/2021,681
10/4/2021,690.5
10/5/2021,700
10/6/2021,691.5
10/7/2021,700
10/8/2021,700
10/11/2021,712
10/12/2021,707
10/13/2021,714
10/14/2021,714
10/15/2021,711.5
10/18/2021,711.5
10/19/2021,714.5
10/20/2021,714.5
10/21/2021,714.5
10/22/2021,727.5
10/25/2021,714
10/26/2021,710
10/27/2021,710
10/28/2021,710
10/29/2021,709.2
11/1/2021,722.5
11/2/2021,731.5
11/3/2021,732
11/4/2021,733
11/5/2021,738
11/8/2021,731
11/9/2021,718
11/10/2021,717
11/11/2021,730
11/12/2021,712
11/15/2021,722
11/16/2021,706
11/17/2021,722
11/18/2021,717
11/19/2021,729
11/22/2021,722
11/23/2021,726
11/24/2021,726
11/25/2021,730.5
11/26/2021,728.5
11/29/2021,728
11/30/2021,728.75
12/1/2021,703
12/2/2021,690
12/3/2021,685.5
12/6/2021,703.5
12/7/2021,712.5
12/8/2021,707.5
12/9/2021,703
12/10/2021,697
12/13/2021,701
12/14/2021,694.5
12/15/2021,696.5
12/16/2021,692
12/17/2021,698
12/20/2021,691.5
12/21/2021,695
12/22/2021,695
12/23/2021,698
12/24/2021,696.5
12/29/2021,698
12/30/2021,698.5
12/31/2021,699.36
1/4/2022,689
1/5/2022,705
1/6/2022,707.5
1/7/2022,715
1/10/2022,707
1/11/2022,712.5
1/12/2022,708
1/13/2022,696
1/14/2022,700
1/17/2022,696.5
1/18/2022,705.5
1/19/2022,699.5
1/20/2022,705
1/21/2022,703.5
1/24/2022,697
1/25/2022,701.5
1/26/2022,695
1/27/2022,701
1/28/2022,702
1/31/2022,701.45
2/1/2022,729
2/2/2022,748
2/3/2022,739
2/4/2022,737
2/7/2022,750
2/8/2022,746.5
2/9/2022,745
2/10/2022,748
2/11/2022,745.5
2/14/2022,742.5
2/15/2022,737
2/16/2022,742.5
2/17/2022,741
2/18/2022,742.5
2/21/2022,743.5
2/22/2022,737.5
2/23/2022,740
2/24/2022,742
2/25/2022,739
2/28/2022,737.78
3/1/2022,845
3/2/2022,835
3/3/2022,835
3/4/2022,837.5
3/7/2022,850
3/8/2022,940
3/9/2022,950
3/10/2022,920
3/11/2022,925.5
3/14/2022,899
3/15/2022,925
3/16/2022,928.5
3/17/2022,925
3/18/2022,920
3/21/2022,925
3/22/2022,920
3/23/2022,926
3/24/2022,925
3/25/2022,926.5
3/28/2022,924.5
3/29/2022,922.5
3/30/2022,924
3/31/2022,925.3
4/1/2022,925.3
4/4/2022,942
4/5/2022,942
4/6/2022,942
4/7/2022,942.5
4/8/2022,942.5
4/11/2022,911.5
4/12/2022,942.5
4/13/2022,943
4/14/2022,938
4/15/2022,942.5
4/18/2022,942.5
4/19/2022,950
4/20/2022,944.5
4/21/2022,936.5
4/22/2022,934
4/25/2022,930
4/26/2022,935
4/27/2022,935
4/28/2022,935.5
4/29/2022,935.8
5/3/2022,822
5/4/2022,839.5
5/5/2022,860.5
5/6/2022,840
5/9/2022,822
5/10/2022,815.5
5/11/2022,814.5
5/12/2022,799.5
5/13/2022,801
5/16/2022,804.5
5/17/2022,804.5
5/18/2022,802.5
5/19/2022,795
5/20/2022,790
5/23/2022,800
5/24/2022,800
5/25/2022,806
5/26/2022,806
5/27/2022,804.5
5/30/2022,804.5
5/31/2022,803
6/1/2022,740
6/6/2022,740
6/7/2022,740
6/8/2022,730.5
6/9/2022,725
6/10/2022,715
6/13/2022,715
6/14/2022,708
6/15/2022,701
6/17/2022,692.5
6/20/2022,688
6/21/2022,692.5
6/22/2022,684
6/23/2022,684.5
6/24/2022,678.5
6/27/2022,687
6/28/2022,689.5
6/29/2022,692.5
6/30/2022,692.4
7/1/2022,669
7/4/2022,675
7/5/2022,675
7/6/2022,685
7/7/2022,692.5
7/8/2022,685
7/11/2022,680
7/12/2022,682.5
7/13/2022,682.5
7/14/2022,682.5
7/15/2022,682.5
7/18/2022,682.5
7/19/2022,682.5
7/20/2022,682.5
7/21/2022,682.5
7/22/2022,682.5
7/25/2022,682.5
7/26/2022,685
7/27/2022,682.5
7/28/2022,682.5
7/29/2022,680.71
8/1/2022,628.5
8/2/2022,625
8/3/2022,637
8/4/2022,631.5
8/5/2022,641
8/8/2022,650
8/9/2022,660.5
8/10/2022,659
8/11/2022,652.5
8/12/2022,660
8/15/2022,645
8/22/2022,641
8/29/2022,643
9/5/2022,670
9/19/2022,665
9/20/2022,666
9/21/2022,669
9/22/2022,671
9/23/2022,672
9/26/2022,670.5
9/27/2022,673
9/28/2022,672.5
9/29/2022,671
9/30/2022,672.74
10/3/2022,690
10/4/2022,690
10/5/2022,685
10/6/2022,690
10/7/2022,686
10/10/2022,688
10/11/2022,691.5
10/12/2022,688.56
10/13/2022,685
10/14/2022,683
10/17/2022,680
10/18/2022,679
10/19/2022,677.5
10/20/2022,676
10/21/2022,675
10/24/2022,680.5
10/25/2022,670
10/26/2022,670
10/27/2022,674
10/28/2022,675
10/31/2022,678.14
11/1/2022,637
11/2/2022,640
11/3/2022,632
11/4/2022,633
11/7/2022,626.5
11/8/2022,630
11/9/2022,633.5
11/10/2022,634.5
11/11/2022,635.5
11/14/2022,639
11/15/2022,636
11/16/2022,634
11/17/2022,636.5
11/18/2022,634.5
11/21/2022,636
11/22/2022,634.5
11/23/2022,633.5
11/24/2022,632.5
11/25/2022,634.5
11/28/2022,638
11/29/2022,639.5
11/30/2022,636.9
12/1/2022,661.5
12/2/2022,672.5
12/5/2022,673
12/6/2022,674
12/7/2022,675
12/8/2022,672.5
12/9/2022,676.5
12/12/2022,671
12/13/2022,668.5
12/14/2022,669.5
12/15/2022,671
12/16/2022,666.5
12/19/2022,665
12/20/2022,661.5
12/21/2022,660.5
12/22/2022,662.5
12/23/2022,667
12/28/2022,673
12/29/2022,665.5
12/30/2022,664.9
1/3/2023,683
1/4/2023,688
1/5/2023,694
1/6/2023,699
1/9/2023,695
1/10/2023,692
1/11/2023,691
1/12/2023,685
1/13/2023,688
1/16/2023,680
1/17/2023,686
1/18/2023,693
1/19/2023,691
1/20/2023,685
1/23/2023,681
1/24/2023,686
1/25/2023,691
1/26/2023,691
1/27/2023,690
1/30/2023,688
1/31/2023,688.74
2/1/2023,702
2/2/2023,704.5
2/3/2023,711
2/6/2023,704
2/7/2023,710
2/8/2023,709
2/9/2023,711
2/10/2023,707
2/13/2023,709.5
2/14/2023,707
2/15/2023,710.5
2/16/2023,712
2/17/2023,707.5
2/20/2023,709
2/21/2023,700
2/22/2023,705
2/23/2023,709
2/24/2023,699
2/27/2023,706
2/28/2023,707
3/1/2023,759
3/2/2023,752
3/3/2023,742
3/6/2023,747
3/7/2023,749
3/8/2023,744
3/9/2023,749
3/10/2023,754
3/13/2023,747
3/14/2023,743
3/15/2023,731
3/16/2023,735
3/17/2023,730
3/20/2023,724.5
3/21/2023,706
3/22/2023,694.5
3/23/2023,680
3/24/2023,706.5
3/27/2023,725
, 
