Date,Цена на бензин,Цена на дт
2017-02-28 00:00:00,35.91,36.15
2017-03-31 00:00:00,36.11,36.58
2017-04-30 00:00:00,36.41,36.69
2017-05-31 00:00:00,36.64,36.8
2017-06-30 00:00:00,36.91,36.87
2017-07-31 00:00:00,37.61,37.2
2017-08-31 00:00:00,37.74,37.3
2017-09-30 00:00:00,37.74,37.34
2017-10-31 00:00:00,37.86,37.36
2017-11-30 00:00:00,38.01,37.7
2017-12-31 00:00:00,38.25,38.4
2018-01-31 00:00:00,38.76,39.06
2018-02-28 00:00:00,39.83,39.45
2018-03-31 00:00:00,39.86,39.51
2018-04-30 00:00:00,39.9,39.69
2018-05-31 00:00:00,40.24,40.12
2018-06-30 00:00:00,43.26,43.21
2018-07-31 00:00:00,44.05,43.92
2018-08-31 00:00:00,43.84,43.81
2018-09-30 00:00:00,43.62,43.77
2018-10-31 00:00:00,43.78,44.01
2018-11-30 00:00:00,43.86,44.41
2018-12-31 00:00:00,44.09,45.86
2019-01-31 00:00:00,43.99,45.95
2019-02-28 00:00:00,44.34,46.65
2019-03-31 00:00:00,44.23,46.48
2019-04-30 00:00:00,44.14,46.38
2019-05-31 00:00:00,44.02,45.93
2019-06-30 00:00:00,44.13,45.47
2019-07-31 00:00:00,44.47,45.57
2019-08-31 00:00:00,44.57,45.64
2019-09-30 00:00:00,44.57,45.68
2019-10-31 00:00:00,44.43,45.5
2019-11-30 00:00:00,44.51,45.57
2019-12-31 00:00:00,44.53,46.14
2020-01-31 00:00:00,44.51,46.49
2020-02-29 00:00:00,45.19,46.62
2020-03-31 00:00:00,45.19,46.65
2020-04-30 00:00:00,45.16,46.59
2020-05-31 00:00:00,45.05,46.55
2020-06-30 00:00:00,45.09,46.58
2020-07-31 00:00:00,45.5,46.64
2020-08-31 00:00:00,45.82,46.81
2020-09-30 00:00:00,45.94,46.87
2020-10-31 00:00:00,45.91,46.79
2020-11-30 00:00:00,45.94,46.81
2020-12-31 00:00:00,45.94,46.87
2021-01-31 00:00:00,45.99,47.07
2021-02-28 00:00:00,46.76,47.45
2021-03-31 00:00:00,47.17,47.77
2021-04-30 00:00:00,47.71,48.17
2021-05-31 00:00:00,48.12,48.37
2021-06-30 00:00:00,48.25,48.39
2021-07-31 00:00:00,48.52,48.59
2021-08-31 00:00:00,48.8,48.78
2021-09-30 00:00:00,49.52,49.3
2021-10-31 00:00:00,49.6,49.34
2021-11-30 00:00:00,49.92,49.76
2021-12-31 00:00:00,50.26,51.04
2022-01-31 00:00:00,50.67,52.12
2022-02-28 00:00:00,51.53,53.39
2022-03-31 00:00:00,51.54,53.79
2022-04-30 00:00:00,51.5,53.54
2022-05-31 00:00:00,51.38,53.26
2022-06-30 00:00:00,51.36,53.24
2022-07-31 00:00:00,51.35,53.21
2022-08-31 00:00:00,51.29,53.24
2022-09-30 00:00:00,51.39,53.41
2022-10-31 00:00:00,51.5,53.7
2022-11-30 00:00:00,51.48,53.91
2022-12-31 00:00:00,51.56,55.06
2023-01-31 00:00:00,51.65,56.73
2023-02-28 00:00:00,51.68,57.34
2023-03-31 00:00:00,51.67,57.33
2023-04-30 00:00:00,51.67,57.38
2023-05-31 00:00:00,51.69,57.39
